Date,Promo Banner Clicks,Clicks,Employee Page Clicks,Jobs Page Clicks,Mobile Promo Link Clicks,Mobile Employee Page Clicks,Mobile Jobs Page Clicks
09 Jun'26,0,0,0,0,0,0,0
08 Jun'26,0,0,0,0,0,0,0
07 Jun'26,0,0,0,0,0,0,0
06 Jun'26,0,0,0,0,0,0,0
05 Jun'26,0,0,0,0,0,0,0
04 Jun'26,0,0,0,0,0,0,0
03 Jun'26,0,0,0,0,0,0,0
02 Jun'26,0,0,0,0,0,0,0
01 Jun'26,0,0,0,0,0,0,0
31 May'26,0,0,0,0,0,0,0
30 May'26,0,0,0,0,0,0,0
29 May'26,0,0,0,0,0,0,0
28 May'26,0,0,0,0,0,0,0
27 May'26,0,0,0,0,0,0,0
26 May'26,0,0,0,0,0,0,0
25 May'26,0,0,0,0,0,0,0
24 May'26,0,0,0,0,0,0,0
23 May'26,0,0,0,0,0,0,0
22 May'26,0,0,0,0,0,0,0
21 May'26,0,0,0,0,0,0,0
20 May'26,0,0,0,0,0,0,0
19 May'26,0,0,0,0,0,0,0
18 May'26,0,0,0,0,0,0,0
17 May'26,0,0,0,0,0,0,0
16 May'26,0,0,0,0,0,0,0
15 May'26,0,0,0,0,0,0,0
14 May'26,0,0,0,0,0,0,0
13 May'26,0,0,0,0,0,0,0
12 May'26,0,0,0,0,0,0,0
11 May'26,0,0,0,0,0,0,0
10 May'26,0,0,0,0,0,0,0
09 May'26,0,0,0,0,0,0,0
08 May'26,0,0,0,0,0,0,0
07 May'26,0,0,0,0,0,0,0
06 May'26,0,0,0,0,0,0,0
05 May'26,0,0,0,0,0,0,0
04 May'26,0,0,0,0,0,0,0
03 May'26,0,0,0,0,0,0,0
02 May'26,0,0,0,0,0,0,0
01 May'26,0,0,0,0,0,0,0
30 Apr'26,0,0,0,0,0,0,0
29 Apr'26,0,0,0,0,0,0,0
28 Apr'26,0,0,0,0,0,0,0
27 Apr'26,0,0,0,0,0,0,0
26 Apr'26,0,0,0,0,0,0,0
25 Apr'26,0,0,0,0,0,0,0
24 Apr'26,0,0,0,0,0,0,0
23 Apr'26,0,0,0,0,0,0,0
22 Apr'26,0,0,0,0,0,0,0
21 Apr'26,0,0,0,0,0,0,0
20 Apr'26,0,0,0,0,0,0,0
19 Apr'26,0,0,0,0,0,0,0
18 Apr'26,0,0,0,0,0,0,0
17 Apr'26,0,0,0,0,0,0,0
16 Apr'26,0,0,0,0,0,0,0
15 Apr'26,0,0,0,0,0,0,0
14 Apr'26,0,0,0,0,0,0,0
13 Apr'26,0,0,0,0,0,0,0
12 Apr'26,0,0,0,0,0,0,0
11 Apr'26,0,0,0,0,0,0,0
10 Apr'26,0,0,0,0,0,0,0
09 Apr'26,0,0,0,0,0,0,0
08 Apr'26,0,0,0,0,0,0,0
07 Apr'26,0,0,0,0,0,0,0
06 Apr'26,0,0,0,0,0,0,0
05 Apr'26,0,0,0,0,0,0,0
04 Apr'26,0,0,0,0,0,0,0
03 Apr'26,0,0,0,0,0,0,0
02 Apr'26,0,0,0,0,0,0,0
01 Apr'26,0,0,0,0,0,0,0
31 Mar'26,0,0,0,0,0,0,0
30 Mar'26,0,0,0,0,0,0,0
29 Mar'26,0,0,0,0,0,0,0
28 Mar'26,0,0,0,0,0,0,0
27 Mar'26,0,0,0,0,0,0,0
26 Mar'26,0,0,0,0,0,0,0
25 Mar'26,0,0,0,0,0,0,0
24 Mar'26,0,0,0,0,0,0,0
23 Mar'26,0,0,0,0,0,0,0
22 Mar'26,0,0,0,0,0,0,0
21 Mar'26,0,0,0,0,0,0,0
20 Mar'26,0,0,0,0,0,0,0
19 Mar'26,0,0,0,0,0,0,0
18 Mar'26,0,0,0,0,0,0,0
17 Mar'26,0,0,0,0,0,0,0
16 Mar'26,0,0,0,0,0,0,0
15 Mar'26,0,0,0,0,0,0,0
14 Mar'26,0,0,0,0,0,0,0
13 Mar'26,0,0,0,0,0,0,0
12 Mar'26,0,0,0,0,0,0,0
11 Mar'26,0,0,0,0,0,0,0
