Date,Total Followers,New Followers,Organic Followers,Organic New Followers,Paid Followers,Paid New Followers,Employee Followers,Employee New Followers,Non-employee Followers,Non-employee New Followers,Likes,Shares,Comments,Impressions,Reach,Clicks,Engagement
09 Jun'26,99012,0,0,0,0,0,533,0,0,0,8,0,0,330,116,5,0E-8
08 Jun'26,98956,0,0,0,0,0,533,1,0,0,5,0,0,605,173,38,0E-8
07 Jun'26,98937,20,0,20,0,0,532,0,0,0,2,0,0,334,146,17,0E-8
06 Jun'26,98916,23,0,23,0,0,532,-1,0,0,7,1,0,511,182,19,0E-8
05 Jun'26,98897,36,0,36,0,0,533,0,0,0,27,1,0,1282,711,50,0E-8
04 Jun'26,98876,64,0,64,0,0,533,1,0,0,6,0,0,589,193,18,0E-8
03 Jun'26,98807,33,0,33,0,0,532,0,0,0,21,0,0,1137,515,29,0E-8
02 Jun'26,98765,48,0,48,0,0,532,0,0,0,0,0,0,420,121,16,0E-8
01 Jun'26,98716,43,0,43,0,0,532,1,0,0,6,0,0,555,166,20,0E-8
31 May'26,98663,40,0,40,0,0,531,3,0,0,1,0,0,251,98,10,0E-8
30 May'26,98627,29,0,29,0,0,528,0,0,0,8,0,0,426,148,61,0E-8
29 May'26,98610,63,0,63,0,0,528,3,0,0,23,0,0,892,446,30,0E-8
28 May'26,98510,108,0,108,0,0,525,0,0,0,5,0,0,511,186,12,0E-8
27 May'26,98424,49,0,49,0,0,525,0,0,0,4,0,0,467,146,20,0E-8
26 May'26,98395,26,0,26,0,0,525,0,0,0,9,0,0,954,267,15,0E-8
25 May'26,98375,68,0,68,0,0,525,0,0,0,17,0,1,1138,532,18,0E-8
24 May'26,98267,146,0,146,0,0,525,0,0,0,5,0,0,400,154,9,0E-8
23 May'26,98108,171,0,171,0,0,525,0,0,0,4,0,0,539,211,27,0E-8
22 May'26,97916,436,0,436,0,0,525,-1,0,0,17,0,0,1432,691,59,0E-8
21 May'26,97364,409,0,409,0,0,526,0,0,0,3,0,0,340,98,12,0E-8
20 May'26,97175,67,0,67,0,0,526,0,0,0,6,0,0,567,195,12,0E-8
19 May'26,97107,38,0,38,0,0,526,-1,0,0,15,1,0,1525,817,23,0E-8
18 May'26,97080,30,0,30,0,0,527,0,0,0,8,0,0,607,262,12,0E-8
17 May'26,97053,26,0,26,0,0,527,0,0,0,10,0,0,451,206,7,0E-8
16 May'26,97036,24,0,24,0,0,527,0,0,0,13,0,0,754,351,27,0E-8
15 May'26,97006,36,0,36,0,0,527,2,0,0,39,0,0,1726,814,62,0E-8
14 May'26,96969,23,0,23,0,0,525,1,0,0,1,0,0,425,133,11,0E-8
13 May'26,96951,37,0,37,0,0,524,0,0,0,7,0,0,637,220,14,0E-8
12 May'26,96916,24,0,24,0,0,524,0,0,0,14,0,0,674,236,23,0E-8
11 May'26,96899,40,0,40,0,0,524,2,0,0,17,0,0,621,295,25,0E-8
10 May'26,96851,32,0,32,0,0,522,0,0,0,7,0,0,482,238,27,0E-8
09 May'26,96830,31,0,31,0,0,522,0,0,0,22,0,0,816,400,46,0E-8
08 May'26,96818,52,0,52,0,0,522,0,0,0,33,0,0,3506,742,128,0E-8
07 May'26,96770,53,0,53,0,0,522,-1,0,0,20,1,0,4185,682,162,0E-8
