Date,Views From,All Pages Views/Total Views,Overview Page Views,About Page Views,People Page Views,Products Page Views,Insights Page Views,Life-At Page Views,Jobs Page View,Career Page Views
09 Jun'26,All,256,92,28,71,11,0,0,54,54
09 Jun'26,All_Unique,92,73,21,29,8,0,0,40,40
09 Jun'26,Desktop,112,41,10,41,1,0,0,19,19
09 Jun'26,Desktop_Unique,42,39,8,12,1,0,0,17,17
09 Jun'26,Mobile,144,51,18,30,10,0,0,35,35
09 Jun'26,Mobile_Unique,50,34,13,17,7,0,0,23,23
08 Jun'26,All,393,160,49,84,29,0,0,71,71
08 Jun'26,All_Unique,126,110,28,42,19,0,0,47,47
08 Jun'26,Desktop,161,81,20,42,4,0,0,14,14
08 Jun'26,Desktop_Unique,54,52,13,24,2,0,0,11,11
08 Jun'26,Mobile,232,79,29,42,25,0,0,57,57
08 Jun'26,Mobile_Unique,72,58,15,18,17,0,0,36,36
07 Jun'26,All,177,68,14,45,13,0,0,37,37
07 Jun'26,All_Unique,70,56,10,19,11,0,0,26,26
07 Jun'26,Desktop,27,11,4,7,0,0,0,5,5
07 Jun'26,Desktop_Unique,13,10,4,4,0,0,0,4,4
07 Jun'26,Mobile,150,57,10,38,13,0,0,32,32
07 Jun'26,Mobile_Unique,57,46,6,15,11,0,0,22,22
06 Jun'26,All,229,71,27,56,22,0,0,53,53
06 Jun'26,All_Unique,72,58,20,34,18,0,0,34,34
06 Jun'26,Desktop,55,28,6,13,3,0,0,5,5
06 Jun'26,Desktop_Unique,23,23,5,9,2,0,0,4,4
06 Jun'26,Mobile,174,43,21,43,19,0,0,48,48
06 Jun'26,Mobile_Unique,49,35,15,25,16,0,0,30,30
05 Jun'26,All,306,117,39,72,19,1,0,58,58
05 Jun'26,All_Unique,104,85,23,37,16,1,0,40,40
05 Jun'26,Desktop,105,45,8,34,1,1,0,16,16
05 Jun'26,Desktop_Unique,36,32,5,17,1,1,0,13,13
05 Jun'26,Mobile,201,72,31,38,18,0,0,42,42
05 Jun'26,Mobile_Unique,69,53,18,21,15,0,0,27,27
04 Jun'26,All,513,192,61,135,30,1,0,94,94
04 Jun'26,All_Unique,160,136,39,51,19,1,0,58,58
04 Jun'26,Desktop,225,99,24,80,3,1,0,18,18
04 Jun'26,Desktop_Unique,69,65,16,25,2,1,0,12,12
04 Jun'26,Mobile,288,93,37,55,27,0,0,76,76
04 Jun'26,Mobile_Unique,91,71,23,26,17,0,0,46,46
03 Jun'26,All,552,196,55,163,20,0,0,118,118
03 Jun'26,All_Unique,179,143,32,67,18,0,0,78,78
03 Jun'26,Desktop,260,91,31,103,3,0,0,32,32
03 Jun'26,Desktop_Unique,70,62,15,33,3,0,0,22,22
03 Jun'26,Mobile,292,105,24,60,17,0,0,86,86
03 Jun'26,Mobile_Unique,110,82,17,34,15,0,0,56,56
02 Jun'26,All,386,158,38,98,17,1,0,74,74
02 Jun'26,All_Unique,141,124,32,43,14,1,0,52,52
02 Jun'26,Desktop,167,75,16,52,0,1,0,23,23
02 Jun'26,Desktop_Unique,65,62,15,25,0,1,0,16,16
02 Jun'26,Mobile,219,83,22,46,17,0,0,51,51
02 Jun'26,Mobile_Unique,77,63,17,19,14,0,0,36,36
01 Jun'26,All,349,142,37,71,14,0,0,85,85
01 Jun'26,All_Unique,134,98,25,34,13,0,0,57,57
01 Jun'26,Desktop,148,80,12,35,1,0,0,20,20
01 Jun'26,Desktop_Unique,54,46,11,15,1,0,0,14,14
01 Jun'26,Mobile,201,62,25,36,13,0,0,65,65
01 Jun'26,Mobile_Unique,80,52,14,19,12,0,0,43,43
31 May'26,All,184,77,24,30,13,0,0,40,40
31 May'26,All_Unique,61,46,18,9,7,0,0,24,24
31 May'26,Desktop,34,21,1,5,0,0,0,7,7
31 May'26,Desktop_Unique,15,15,1,1,0,0,0,5,5
