Time of post,Post Id,Post Type,Publishing source,Likes,Comments,Shares,Clicks,Engagement rate,Impressions
09 Jun 2026 18:53:22 +05:30,s7470103248100573184,TEXT,LINKEDIN,22,0,4,0,0.00026259,0
05 Jun 2026 10:26:27 +05:30,s7468525891334070272,VIDEO,LINKEDIN,37,0,2,0,0.00039389,0
03 Jun 2026 10:47:12 +05:30,s7467806574422675456,IMAGE,LINKEDIN,28,0,2,0,0.00030299,0
29 May 2026 10:23:37 +05:30,s7465988698896084992,TEXT,LINKEDIN,20,0,0,0,0.00020200,0
25 May 2026 18:21:10 +05:30,s7464659327195230208,IMAGE,LINKEDIN,30,1,3,0,0.00034339,0
22 May 2026 13:03:15 +05:30,s7463492018183352320,VIDEO,LINKEDIN,24,0,1,0,0.00025249,0
19 May 2026 14:59:24 +05:30,s7462434224898256897,TEXT,LINKEDIN,21,0,1,0,0.00022220,0
15 May 2026 17:15:25 +05:30,s7461018558672551936,VIDEO,LINKEDIN,25,0,4,0,0.00029289,0
15 May 2026 11:02:57 +05:30,s7460925168903729152,IMAGE,LINKEDIN,53,0,0,0,0.00053529,0
08 May 2026 19:03:01 +05:30,s7458509267050844160,IMAGE,LINKEDIN,55,0,2,0,0.00057569,0
07 May 2026 18:43:51 +05:30,s7458141934902226944,VIDEO,LINKEDIN,34,0,3,0,0.00037369,0
05 May 2026 23:28:55 +05:30,s7457489015525666816,IMAGE,LINKEDIN,60,0,3,0,0.00063629,0
04 May 2026 18:42:12 +05:30,s7457054476303048705,IMAGE,LINKEDIN,80,0,1,0,0.00081808,0
01 May 2026 17:08:00 +05:30,s7455943605917061122,IMAGE,LINKEDIN,17,0,0,0,0.00017170,0
27 Apr 2026 22:33:01 +05:30,s7454575846100549632,IMAGE,LINKEDIN,60,0,2,0,0.00062619,0
21 Apr 2026 13:38:55 +05:30,s7452267108224315392,IMAGE,LINKEDIN,38,0,2,0,0.00040399,0
14 Apr 2026 21:42:12 +05:30,s7449852017939795969,IMAGE,LINKEDIN,29,0,3,0,0.00032319,0
13 Apr 2026 16:53:51 +05:30,s7449417062176858112,TEXT,LINKEDIN,25,0,2,0,0.00027269,0
10 Apr 2026 18:45:48 +05:30,s7448358072357699584,IMAGE,LINKEDIN,85,0,6,0,0.00091908,0
09 Apr 2026 18:14:39 +05:30,s7447987844159057921,IMAGE,LINKEDIN,27,0,3,0,0.00030317,0
05 Apr 2026 18:03:54 +05:30,s7446535586712203264,IMAGE,LINKEDIN,30,0,3,0,0.00033375,0
02 Apr 2026 18:45:38 +05:30,s7445458929079255042,IMAGE,LINKEDIN,81,0,3,0,0.00085050,0
29 Mar 2026 19:04:25 +05:30,s7444014104689680385,IMAGE,LINKEDIN,57,0,4,0,0.00061923,0
27 Mar 2026 18:23:17 +05:30,s7443278975860355072,IMAGE,LINKEDIN,54,0,3,0,0.00058005,0
25 Mar 2026 18:57:25 +05:30,s7442562791779225600,IMAGE,LINKEDIN,46,1,0,0,0.00048272,0
24 Mar 2026 20:07:10 +05:30,s7442217956043874305,TEXT,LINKEDIN,33,1,2,0,0.00036975,0
24 Mar 2026 18:08:57 +05:30,s7442188205682188288,IMAGE,LINKEDIN,6,0,0,0,0.00006333,0
20 Mar 2026 15:23:20 +05:30,s7440696973768433664,TEXT,LINKEDIN,11,0,1,0,0.00012361,0
18 Mar 2026 18:09:43 +05:30,s7440014072537886720,IMAGE,LINKEDIN,67,2,0,0,0.00071157,0
16 Mar 2026 13:44:16 +05:30,s7439222491165859840,LINK,LINKEDIN,1,0,0,0,0.00001034,0
16 Mar 2026 13:43:35 +05:30,s7439222320306618368,LINK,LINKEDIN,0,0,0,0,0E-8,0
16 Mar 2026 13:42:51 +05:30,s7439222134788358144,LINK,LINKEDIN,0,0,0,0,0E-8,0
16 Mar 2026 13:42:12 +05:30,s7439221973676806144,LINK,LINKEDIN,0,0,0,0,0E-8,0
16 Mar 2026 13:41:34 +05:30,s7439221814494429184,LINK,LINKEDIN,2,0,0,0,0.00002071,0
16 Mar 2026 12:07:44 +05:30,s7439198197731864576,LINK,LINKEDIN,0,0,0,0,0E-8,0
16 Mar 2026 12:06:47 +05:30,s7439197958128115712,LINK,LINKEDIN,0,0,0,0,0E-8,0
16 Mar 2026 12:05:28 +05:30,s7439197627562450944,LINK,LINKEDIN,0,0,0,0,0E-8,0
16 Mar 2026 12:04:44 +05:30,s7439197444556374016,LINK,LINKEDIN,0,0,0,0,0E-8,0
16 Mar 2026 12:00:10 +05:30,s7439196295648399360,LINK,LINKEDIN,0,0,0,0,0E-8,0
13 Mar 2026 17:36:35 +05:30,s7438193792253325312,TEXT,LINKEDIN,26,1,1,0,0.00029341,0
